1,1.067685292689175 2,2.0643881720308577 3,2.184479077047903 6,4.81755806702047 5,5.104829866231432 9,5.524984954605683 7,6.273456037304289 4,6.753782601527786 8,7.043902366089001
2,0.9972677638558981 0,1.067685292689175 3,1.6288690255851597 6,3.8224532885319755 5,4.053174589511439 9,4.924260244100835 7,5.205822696792733 4,5.725674998393028 8,5.977201252464642 10,6.674798399989775
1,0.9972677638558981 3,1.6089291299417157 0,2.0643881720308577 6,2.915892324506992 5,3.070356460783952 7,4.209353238172619 9,4.477587322810513 4,4.798656911644995 8,4.9851508341283 10,5.67881304416168
2,1.6089291299417157 1,1.6288690255851597 0,2.184479077047903 6,3.0341400917604133 9,3.3562739767643093 5,3.603032635793059 7,4.980511930550996 8,5.8118272258652475 4,5.971617123604355 10,6.409874925964722
8,1.4838339171087134 7,1.7541097642641714 10,2.062386698440575 12,2.4011982935381364 11,2.450848461925719 5,2.8820702879709734 13,3.4211042513445493 6,3.7901538827808543 2,4.798656911644995 1,5.725674998393028
6,0.9081646554391622 7,1.4288936459467059 8,2.260207026865389 10,2.810221973012725 4,2.8820702879709734 2,3.070356460783952 3,3.603032635793059 9,3.846761937122826 1,4.053174589511439 12,4.446186690327632
5,0.9081646554391622 7,2.275107677968133 2,2.915892324506992 9,2.950433484497532 3,3.0341400917604133 8,3.0819233877045944 10,3.541198255109109 4,3.7901538827808543 1,3.8224532885319755 0,4.81755806702047
8,0.835273979586857 5,1.4288936459467059 10,1.4703542438140336 4,1.7541097642641714 6,2.275107677968133 12,3.0179848341707927 11,3.115527457951302 13,3.2025202608294148 14,3.8070009893508012 2,4.209353238172619
10,0.7572587953454687 7,0.835273979586857 4,1.4838339171087134 12,2.1868603351826557 5,2.260207026865389 11,2.28620012300684 13,2.463966844906053 6,3.0819233877045944 14,3.1257445672861257 15,4.140171835678421
6,2.950433484497532 3,3.3562739767643093 5,3.846761937122826 2,4.477587322810513 1,4.924260244100835 7,5.081155267757981 0,5.524984954605683 8,5.80006328039885 10,6.056708338995448 4,6.715747815623511
8,0.7572587953454687 7,1.4703542438140336 13,1.7351274550002784 12,1.8205782384067717 11,1.9306442874479914 4,2.062386698440575 14,2.3733687263948533 5,2.810221973012725 15,3.437726908539929 6,3.541198255109109
12,0.1111242876849532 13,1.6363326524961617 10,1.9306442874479914 8,2.28620012300684 14,2.3134731817902776 4,2.450848461925719 15,2.559921912887203 7,3.115527457951302 17,4.376737711258988 16,4.5083273567720035
11,0.1111242876849532 13,1.5669421821218352 10,1.8205782384067717 8,2.1868603351826557 14,2.2593108136052344 4,2.4011982935381364 15,2.564781528663721 7,3.0179848341707927 17,4.412521419304544 16,4.4335630985276095
14,0.7542983417909168 12,1.5669421821218352 11,1.6363326524961617 15,1.7177243543450886 10,1.7351274550002784 8,2.463966844906053 16,2.874700473593957 7,3.2025202608294148 4,3.4211042513445493 17,3.7817247998390036
13,0.7542983417909168 15,1.349693374928646 12,2.2593108136052344 16,2.303537093722333 11,2.3134731817902776 10,2.3733687263948533 8,3.1257445672861257 17,3.3291256060347303 18,3.588222936193463 7,3.8070009893508012
14,1.349693374928646 13,1.7177243543450886 17,2.064208546575358 11,2.559921912887203 12,2.564781528663721 18,2.5706750621475982 16,3.208548009354873 20,3.3184472791735655 10,3.437726908539929 21,3.5390122591991657
14,2.303537093722333 13,2.874700473593957 15,3.208548009354873 21,3.3883988783410515 10,3.74653984773676 20,3.974405219279508 18,4.169648511170269 8,4.425960137326384 12,4.4335630985276095 17,4.504634183777303
18,1.0829279672931291 19,1.565999539534865 15,2.064208546575358 20,2.2091135782033535 21,2.9211849930948564 22,3.323860950057536 14,3.3291256060347303 13,3.7817247998390036 11,4.376737711258988 12,4.412521419304544
17,1.0829279672931291 20,1.1299077240395212 19,1.3762525691161798 21,1.9079261030984673 15,2.5706750621475982 22,2.87909995373745 14,3.588222936193463 24,4.078313391498648 16,4.169648511170269 13,4.189333905514354
18,1.3762525691161798 17,1.565999539534865 22,1.760486367027328 20,2.039588215646409 21,2.957261322805317 24,3.26034094635785 15,3.597865084670897 14,4.788124413530732 13,5.30463357982294 16,5.5457918797082
21,0.9186454746161954 18,1.1299077240395212 19,2.039588215646409 17,2.2091135782033535 22,2.941202083013273 15,3.3184472791735655 24,3.7096228926177846 16,3.974405219279508 14,4.044380014463754 13,4.738422516528035
20,0.9186454746161954 18,1.9079261030984673 17,2.9211849930948564 19,2.957261322805317 16,3.3883988783410515 15,3.5390122591991657 22,3.746684900259273 14,3.9636242468408587 24,4.267909161469834 23,4.374681888681465
24,1.6348794094978853 19,1.760486367027328 18,2.87909995373745 20,2.941202083013273 17,3.323860950057536 21,3.746684900259273 15,5.3262900975701095 14,6.452932450958081 16,6.876894508203419 13,7.014396342936705
21,4.374681888681465 16,4.809534374895188 20,5.250687526934169 18,6.278434412052759 14,6.867791468297879 15,7.195347100832778 24,7.217413894139456 17,7.244932813364611 19,7.253838674008882 22,7.522817142492746
22,1.6348794094978853 19,3.26034094635785 20,3.7096228926177846 18,4.078313391498648 21,4.267909161469834 17,4.761037582315637 15,6.6408607168478015 23,7.217413894139456 16,7.634955353527599
